%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
47659.248   -5.120824631334 -174.725899195494    0.6536    2.0286  -0.010   15
53311.204    0.421907511521    0.784202399018    0.2038    0.9227  -0.207   18
53318.206   -0.200107575612    0.308001598626    0.2464    0.5136   0.080   40
53325.226   -0.184154828899   -0.915199193230    0.3239    0.5075   0.246   34
53326.223    0.681490389166    0.037400405972    0.7090    0.6194   0.186    6
53332.206    0.026867844224    0.370000798000    0.5492    0.5483  -0.564   18
53341.249    0.045060500672    0.068799596420    0.0814    0.1042   0.004  145
53346.228   -0.177716687256   -1.400000397211    0.4591    0.7063  -0.261   16
53347.225    0.807993839804    0.703602002261    0.9856    0.7395   0.356    9
53353.204    0.055975598183   -0.253699192854    0.2790    0.3300   0.270   30
53354.223   -1.940492812711    1.367301599942    0.8164    0.7295  -0.066  101
53367.226    0.175060218836    2.010200402935    0.3845    0.7941  -0.300    6
53374.206   -0.007556473803   -0.174999598812    0.2855    0.2983   0.032   27
53381.207    0.054017657823   -0.050598002588    0.2806    0.2957  -0.012   12
53389.206    0.197310027052    0.322901999539    0.5134    0.2631   0.437   28
53390.247    0.040301575429    0.011300400615    0.1986    0.3604   0.016   29
53395.204    0.200668459853   -0.023000404781    0.5636    0.2488   0.208   13
53402.206   -0.089697951828   -0.245800794119    0.3022    0.2676   0.038   12
53403.225    0.230196208819    0.268300799178    0.4912    0.6115   0.298   46
53409.204   -0.362714560678    0.182800795301    0.1974    0.2176   0.062   21
53410.227    0.405954955715   -0.369500398278    0.0931    0.2234   0.117   61
53411.253   -0.391540345262   -0.192700792923    0.2656    0.2574  -0.242   26
53416.206   -0.540152523974    1.095102005877    0.5134    0.3267  -0.063   15
53423.208   -0.256502977896   -0.951199196209    0.4049    0.4477   0.120   36
53430.206   -0.023227251141   -0.174898802641    0.1061    0.2689  -0.019   30
53437.204   -0.117126489387    0.551901602819    0.1680    0.3177   0.019   16
53444.206    0.146375514393   -0.284500794123    0.1853    0.2243   0.096   36
53451.208   -0.344242989364   -0.363999595265    0.1363    0.1858  -0.013   17
53452.223   -0.396577994464    1.557601203217    0.4979    0.7687   0.201  220
53458.206    0.445138198985   -0.015800404185    0.2398    0.2875   0.237   28
53460.248   -2.404522196204   -7.220800802088    0.1199    0.2215   0.213   58
53466.227   -0.676311468916   -0.463298404441    0.5329    0.3742   0.202   38
53472.206   -0.057231574161    0.479901596862    0.1195    0.3027   0.067   64
53479.204    0.154069822921   -0.429497998766    0.3224    0.3456   0.219   22
53486.206   -0.111249231984   -0.274298395198    0.2595    0.3145   0.051   39
53493.204   -0.004335684820   -0.261198000828    0.1487    0.1712   0.045   30
53500.206   -0.330527097877    0.295002000428    0.4702    0.5150   0.275   62
53509.246   -0.083400890326   -0.088999195214    0.1286    0.2621   0.005   59
53514.206    0.264479446705   -0.294800395295    0.2893    0.2515   0.092   40
53522.205    0.038622359029    1.100501999929    0.1660    0.4372  -0.132   23
53535.204   -0.115447272986   -0.299599193454    0.2533    0.3627  -0.352   17
53542.206    0.000141080141    0.298101601004    0.2670    0.3042  -0.438   23
53543.225   -0.088297459387    0.380001604583    0.2443    0.2960  -0.205   81
53549.208    0.401336919707    0.007999194906    0.2338    0.2035   0.115   25
53550.223   -1.033568576292   -0.383399999748    0.7517    0.5697  -0.014   26
53551.250   -0.019170099373   -1.552399194793    0.0905    0.3114  -0.151  160
53555.994   -0.320031804466    0.502599600338    0.7802    1.1106  -0.271  111
53557.207    0.070947656555    0.360201596550    0.1604    0.3635   0.083   48
53563.204   -0.050655788699    0.736599606910    0.1703    0.3915   0.024   30
53564.223   -3.570750395402   -0.321400800374    0.1759    0.2501   0.018   55
53570.206    0.009376770345    0.173401197401    0.1544    0.2313   0.046   44
53577.204   -0.079343738558    0.196599600599    0.1659    0.1840  -0.003   31
53584.202    0.058494422784    0.346301995080    0.2132    0.2384   0.114   37
53598.210   -0.028264900343   -0.055400394672    0.2732    0.3806  -0.173   25
53600.248   -0.417568390379    0.461599206858    0.1757    0.3191   0.196   62
53605.208    0.225578172811    0.038199600283    0.2636    0.4450   0.057   30
53607.250    0.433383493274    1.902401999132    0.1405    0.1399  -0.275  116
53612.206    0.096838057854    0.277502398660    0.1913    0.4258  -0.078   46
53618.996   -0.755094514140    1.536699599569    0.5636    0.8391  -0.090   61
53620.205    0.165545613767   -0.705200403672    0.3421    0.7165   0.207   31
53626.195    0.108031879324    0.206701203354    0.1149    0.1364   0.166   92
53626.498    0.317516225281    0.048099597905    0.1448    0.1778   0.243   83
53627.196    0.236214546363   -0.320500797102    0.1367    0.2673   0.312   85
53627.499    0.026588929358   -0.097898393392    0.1800    0.2077   0.155   70
53628.197    0.130002963580    0.079200006553    0.1128    0.1493   0.121   79
53628.500    0.134201004582   -0.223199992888    0.1201    0.1919   0.200  114
53629.198   -0.352357101992   -0.132400803921    0.1234    0.1467   0.219   76
53629.501   -0.110547267602    0.005299197881    0.1797    0.1718   0.186   61
53630.195   -0.131537854424    0.059799602070    0.1143    0.1374   0.187   82
53630.498    0.086480599168    0.508399197940    0.1395    0.1792   0.162   88
53631.196   -0.046037943597    0.184701598016    0.0957    0.1199   0.183   91
53631.499   -0.119504424753   -0.033800392885    0.1380    0.1880   0.252   84
53632.196   -0.046598827839    0.083401202744    0.1263    0.1343   0.303   74
53632.500    0.212564245706    0.011502005748    0.1414    0.1826   0.394   78
53633.197   -0.182196888539    0.223801201571    0.0947    0.1461   0.220  105
53633.500    0.102994230122    0.486000001843    0.1402    0.2275   0.264   77
53634.205   -0.065768927212    0.497502007590    0.3024    0.2403  -0.380   83
53634.501   -0.066329811453    0.430002005203    0.1295    0.1874   0.089   99
53635.195    0.126503450638    0.171100803925    0.0955    0.1372   0.138   92
53635.498   -0.100754129480    0.064101607222    0.1245    0.1819   0.201   92
53636.196   -0.071505104473   -0.164199597918    0.1029    0.1416   0.198   94
53636.499    0.145253745911   -0.056199601772    0.1725    0.2014   0.242   84
53637.197   -0.110268543643    0.172800001508    0.1701    0.1695   0.160   55
53637.500    0.161908457006   -0.121100403305    0.1820    0.2147   0.305   74
53638.197    0.043240204131    0.246700797391    0.1384    0.1546   0.285   90
53638.497   -0.069688244254    0.009500406861    0.1664    0.1754   0.254   75
53639.198   -0.069547164113   -0.228599999730    0.1144    0.1454   0.312   78
53639.501   -0.164282765144   -0.051497993070    0.1354    0.1836   0.210   73
53640.199   -0.190730805268   -0.234698404711    0.1055    0.2194   0.306  107
53642.248    0.157290420998   -0.674999998296    0.1276    0.2288  -0.511  110
53647.208    0.400917115606    0.566802003732    1.3640    0.6292   0.555   37
53654.206    0.582556556227   -0.233298001717    0.3240    0.2693   0.037   25
53655.225   -0.759292555142   -0.124599594642    0.2527    0.2744   0.162   18
53661.204    0.951007485073    0.231800396477    0.4962    0.4720   0.112   27
53662.227    0.045759219638    2.962202400170    0.4046    0.6369   0.225   19
53668.206    2.087707935305    0.173700004780    1.2601    0.5960   0.458   42
53675.205    0.244889352325   -0.600497993730    0.2531    0.3379  -0.063   19
53682.203   -1.560848062395   -0.191098797586    1.0607    0.5735   0.541   40
53689.216    0.028687949859   -0.039798001694    0.2550    0.3345   0.349   39
53690.227   -0.070245692173    0.042102001885    0.1763    0.3062  -0.138   81
53696.203    0.326611026250    0.514101606086    0.4637    0.3873   0.262   19
53703.205    1.051620343506    0.507301196251    0.3052    0.4750   0.159   12
53704.242   -1.549513351691   -1.336899602222    0.6325    0.5507   0.373   13
53711.225   -0.284348074138    0.553201196851    0.1366    0.1458   0.115   34
53712.248   -0.055273633801   -0.010900797065    0.1480    0.3350   0.440   76
53718.224    0.451713984447   -1.124099993888    0.6112    0.7729   0.408  111
53719.250   -0.265876502824    0.101001600683    0.1244    0.1697   0.085   81
53724.203   -0.437997902053   -0.619599603624    0.7121    0.4179   0.283   24
53725.226    0.523783409484   -0.541400396514    0.4543    0.6545   0.257   32
53732.205    1.981496352523   -0.292600797991    0.9335    0.7108  -0.254    8
53739.207    3.104346512865   -0.088300797074    1.1464    0.2547   0.277    9
53745.205   -0.607463023769   -0.301399199998    0.4583    0.2522   0.000    4
53753.204   -0.155886683140   -0.413697594581    0.3841    0.3789  -0.047   22
53760.227   -1.211846147789   -2.150200798212    0.3980    0.8059   0.544   79
53761.246   -0.113768056585    0.531702004025    0.2691    0.3154  -0.201   26
53766.207   -0.191150609368   -0.224899203261    0.2147    0.1998   0.258   18
53768.252   -0.200248655753    0.094499998227    0.1891    0.2296  -0.540   68
53773.205   -0.755793042199    0.696600000083    0.4091    0.3176  -0.008    8
53774.227   -1.973939687813    2.357600399705    0.4873    0.8568  -0.263   46
53780.207   -0.147070606130   -0.071499593446    0.1897    0.2263   0.071   48
53787.205   -0.240970035283    0.103500005366    0.2015    0.3107  -0.070   37
53794.229   -0.359913575795   -0.276497992502    0.1977    0.2773   0.095   26
53808.203   -0.289946607581    0.036601198872    0.1938    0.2914  -0.233   22
53815.205    0.386505941476    0.290901600408    0.2676    0.3280  -0.031   21
53816.224   -1.086743189592   -0.293299196130    1.0375    0.6919   0.800  168
53822.207   -0.137136387867   -0.036899993461    0.1996    0.2208   0.191   24
53824.248    0.096696977713    0.593600407228    0.1748    0.3328  -0.090   41
