%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
47659.248    8.141665511502 -315.696200400595    1.0483    4.0583   0.163   15
52577.245    0.200005753156    0.303998400053    0.1659    0.2807  -0.181   66
52578.242   -0.213646712529    0.141299999701    0.1488    0.1980  -0.114   90
52583.206   -0.410201663512    0.895100399401    0.1848    0.6889   0.106   29
52590.204   -0.354727276498    0.311198399849    0.1779    0.4189  -0.113   16
52597.206    0.108998509600    0.388299599674    0.2299    0.6294  -0.037   32
52604.204   -0.032834087377    0.608097599475    0.1294    0.4017  -0.168   21
52611.228    0.738845252681    0.290898000088    0.2132    0.5803  -0.015   31
52618.204   -0.200451900432    0.744400799402    0.1668    0.4987   0.064   23
52625.202   -0.232836209993    0.694900800102    0.2069    0.5531  -0.111   32
52639.202   -0.013493436750   -0.311500800354    0.2401    0.2511   0.118    9
52646.204   -0.103449971510    0.034599599985    0.2407    0.6059  -0.141    4
52653.202   -0.170017804164    0.132098399419    0.3002    0.3692   0.036    8
52661.205   -2.128518647227    4.831999199961    0.9795    2.1079  -0.968    4
52667.206    0.179614393733   -0.458499599887    0.2054    0.4312  -0.300   11
52674.208    0.043481385741   -0.123699600163    0.1981    0.3055  -0.681   14
52681.206    0.098354892910   -0.083001599993    0.1331    0.4399  -0.102   19
52689.205    0.152926093752   -0.900799200032    0.4155    0.8247  -0.809    4
52695.206    0.366123028465   -0.077201999993    0.1764    0.3355  -0.161   13
52702.204   -0.019340650627   -0.000399600353    0.1501    0.3404  -0.068   11
52709.206    0.232238960687   -0.576100800664    0.1502    0.3911  -0.387   15
52716.204   -0.210347114654    0.034300799800    0.1677    0.2708  -0.078   11
52723.202    0.273169151022    0.628797599589    0.2303    0.3707   0.280   10
52724.229  -10.087723524341   15.602000399628  144.7858  129.1041  -0.999    3
52730.204   -0.028034002890   -0.233499600455    0.1943    0.3019   0.027   16
52737.202    0.278566587083   -0.473900400522    0.2604    0.3505  -0.177    9
52744.204    0.107350551499    0.122299199568    0.1611    0.2396  -0.021   14
52751.202    0.076912824692   -0.404899200568    0.1356    0.4429  -0.135   22
52758.204    0.312001605439   -0.208699200321    0.1625    0.3768  -0.179   17
52765.202    0.451131956114   -0.071600400009    0.3708    0.3701   0.015    9
52767.244   -0.140630786153    0.074599199618    0.0786    0.1952  -0.307  171
52772.204    0.068518097082    0.061199999468    0.1779    0.4897  -0.478    7
52779.206    0.285914236437   -0.440802000501    0.2988    0.3476  -0.098    8
52787.205    0.202851942676   -0.597402000668    0.2157    0.3374  -0.258   19
52793.206   -0.211095517122    0.578800800088    0.1858    0.3374  -0.388   11
52800.204    0.054125053566   -0.372801599990    0.2458    0.4897  -0.164   15
52807.206    0.094605466084   -1.099501200486    0.2354    0.3980  -0.174   12
52814.204    0.235387456534   -0.251802000051    0.2452    0.3195  -0.115   20
52821.206   -0.096703253135    0.617299199757    0.2288    0.4030  -0.399   13
52828.204   -0.427890725498   -0.243201600458    0.2502    0.4724  -0.207   15
52835.203   -0.369868773617    0.926398800072    0.1552    0.3095   0.067   23
52836.583   84.596905398168  141.056600400091   10.3830    7.9890   0.803    6
52842.204    0.427595731385   -1.358802000517    0.3871    0.4773  -0.414   13
52849.206   -0.070763355623   -0.280602000036    0.2164    0.3420  -0.414   20
52856.208    0.033586171519    0.225698399969    0.3418    0.3252  -0.322   19
52863.206    0.602410040631   -0.744699600386    0.4253    0.6939  -0.284   19
52870.204   -0.300602274067   -0.256802400145    0.4482    0.4216  -0.382    7
52877.203    1.050094825112    0.337899599501    0.5003    0.5495   0.131    8
52885.205    0.000000000000    0.662198399315    0.2734    0.8553  -0.150    5
52891.203   -0.310648590317    0.131399999681    0.2597    0.5094  -0.010   10
52898.205    0.077362602508   -0.344700000543    0.3854    0.2897  -0.628    9
52905.206   -0.696562047225    0.352000799708    0.3963    0.4238  -0.358   10
52912.205    0.044528515131   -0.114901200554    0.1564    0.2624  -0.126   14
52919.203   -0.084559098699    0.492299999966    0.2579    0.3013   0.119    9
52921.241   -4.554048504802   -0.360000000210    1.6951    0.3160   0.104    6
52926.205   -0.083659543067    0.029397599555    0.1848    0.2195  -0.098   12
52933.203   -0.365370944322    0.342597599889    0.1720    0.2481  -0.190    9
52934.240   -2.428523620854    0.127699200014    5.1417    0.4891   0.071    5
52940.205   -0.119642126290    0.222598799393    0.1872    0.3620  -0.109   16
52947.203   -0.538537244333   -0.387399600399    0.2729    0.4283  -0.086    9
52954.227   -0.505555583198    0.289198800107    0.2415    0.3749  -0.120   16
52961.203   -0.067766012939    0.288399599402    0.2974    1.2275   0.458    6
52975.203    0.027886531400   -1.214100000535    0.2782    1.1249  -0.410    5
52983.227    0.281563929766   -0.182501999912    0.2709    0.3113  -0.193    7
52989.229   -0.134182692430   -0.586101600053    0.2477    0.6216  -0.350    8
52990.229    1.668394714197    0.285199199457    1.0754    1.2069  -0.063   21
52996.205    0.187109565711   -0.379900800418    0.2025    0.3818  -0.173    5
53003.203    0.075264815457    0.544100399935    0.2438    0.3350  -0.421    5
53025.206    0.223991755701    1.101600000020    0.2080    0.7416  -0.480    4
53031.203    0.008398358150    0.837799199616    0.1849    0.6109  -0.414    6
53052.205   -0.098649887023    0.383597999765    0.1021    0.3882  -0.187   22
53059.203    0.130436947278    0.175100399780    0.1170    0.4600  -0.166   17
53073.203    9.581120862887    1.425898799834    6.3606    1.2749   0.930    3
53074.237   -0.128188007064   -0.230299200510    1.0456    0.7660  -0.133    4
53101.583  -33.324088552960   10.960199999577    3.3590    3.4362  -0.021    5
53122.205   -0.066118003704    1.147197599316    0.3055    0.8531  -0.622    6
