MJD,R.A. (mas),Dec. (mas),Err. R.A. (mas),Err. Dec. (mas),Corr.,Del.,RAcosDEC,BY,MJDtrunc,MJDReal
47339.238,0.668399383811,-2.397502817075,0.5524,0.4467,0.397,26.0,-0.49174454342244694,1988.4868287535378,47339.0,47339
47342.916,-4.8757522808789995,-33.537801579087,14.6774,23.8985,0.8340000000000001,4.0,2.5529758637163207,1988.4968987838145,47342.0,47342
47344.246,-0.757732408047,-1.515301215704,0.8482,0.7739,0.294,24.0,-0.042028863641399024,1988.5005402031368,47344.0,47344
47348.994000000006,8.889984531563,7.571296805509,14.0289,15.7903,-0.636,3.0,2.4797271101977594,1988.513539796327,47348.0,47348
47349.239,-0.152008084852,0.926398797674,0.6282,0.5167,0.38,23.0,-0.09131382476166723,1988.5142105840969,47349.0,47349
47354.239,-0.5605323953760001,1.4610996061039998,0.9139,0.7448,0.078,16.0,-0.06136532067416815,1988.5279001304216,47354.0,47354
47359.25,1.853518170135,-0.8122031943000001,1.002,0.9503,-0.255,13.0,1.27503703136145,1988.5416197937484,47359.0,47359
47360.92,12.715412865845,5.276599176796,7.9296,3.0968,0.617,4.0,6.799549101018112,1988.5461921022209,47360.0,47360
47363.473,1.20068320882,-1.6948008180860001,4.2491,3.9183,0.49200000000000005,26.0,-0.14850882042297503,1988.5531819845744,47363.0,47363
47364.242999999995,2.038153534995,2.476800000295,0.4988,0.5378,0.44799999999999995,6.0,-1.6041179647945056,1988.5552901747085,47364.0,47364
47368.282999999996,0.598767627848,-0.139500008345,0.5583,0.4274,0.203,21.0,0.5929509852490711,1988.5663513281388,47368.0,47368
47369.247,-2.063972339004,2.560597187085,0.7645,0.9116,0.133,19.0,1.7253089384302263,1988.5689906726705,47369.0,47369
47374.251,1.452820724852,-0.24560280849100002,0.8318,0.6319,0.055,11.0,1.4092229314066917,1988.5826911706322,47374.0,47374
47379.240999999995,-0.093801696434,-0.8710020097169999,0.328,0.3095,0.24600000000000002,40.0,-0.0604139542459292,1988.5963533378645,47379.0,47379
47384.244000000006,-1.109189610419,1.1485980166979999,0.2989,0.3219,0.426,20.0,-0.454508987205316,1988.610051097917,47384.0,47384
47389.237,2.166261567048,-0.041900409542,0.3429,0.2858,0.318,15.0,2.164360252834031,1988.623721478877,47389.0,47389
47394.249,-1.5124665141909999,-1.281600003722,0.2038,0.199,0.35100000000000003,45.0,-0.43132824714887613,1988.637443880113,47394.0,47394
47395.918,-1.29562422643,2.284397976382,0.5009,0.7215,0.054000000000000006,17.0,0.8480649481877803,1988.6420134506764,47395.0,47395
47399.249,0.5806244832540001,-1.056301209701,0.268,0.2638,0.33799999999999997,17.0,0.2857226317398885,1988.651133426438,47399.0,47399
