,MJD,Dec. (micas),Err. Dec. (micas)
602,49567.249,-814.899610191,519.8000000000001
603,49568.334,702.399597685,1166.4
604,49569.418,1901.9016122,1031.3000000000002
605,49574.251,376.40160428499996,306.5
606,49576.501,495.201601325,635.1
607,49581.249,472.70160905599994,283.9
608,49588.251,374.698799988,271.0
609,49595.252,185.19839102299997,266.0
610,49597.418,-282.80159654100004,775.6999999999999
611,49602.251,367.49879939199997,233.0
612,49604.42,-1519.9992049020002,796.0
613,49609.249,200.700000619,251.1
614,49616.251,-349.498785113,256.29999999999995
615,49623.249,546.001209045,230.1
616,49630.251,301.600792341,267.6
617,49631.332,-885.700805497,1166.0
618,49632.42,109.501195311,907.5999999999999
619,49637.249,509.698804763,259.2
620,49644.251,-108.29880352499998,317.40000000000003
621,49651.26,-185.698803534,313.7
622,49658.262,-204.800400638,289.8
623,49665.255999999994,580.20120548,392.79999999999995
624,49672.251,-265.600789362,289.7
625,49679.253,480.70079117200004,306.8
626,49686.251,190.900811958,271.4
627,49693.249,302.000395891,376.59999999999997
628,49700.247,-279.39959466,257.79999999999995
629,49707.249,425.401205462,293.4
630,49714.251,148.20119531600002,293.9
631,49728.251,343.79999647200003,302.20000000000005
632,49735.253,-55.000791122,288.8
633,49736.363,-661.2983952440001,1151.6
634,49741.17,1252.800001339,497.7
635,49742.251,35.200795878,213.9
636,49749.249,49.201193519,550.8
637,49750.334,440.49960479199996,870.1
638,49756.251,353.699994093,225.0
639,49763.253,303.501607846,1036.7
640,49770.251,-133.19999823100002,844.8
641,49777.249,251.70120068199998,499.7
642,49784.251,-311.00040303,239.1
643,49791.249,334.000807811,341.1
644,49798.251,246.89879580800002,273.3
645,49805.249,22.899595820000002,418.2
646,49812.251,509.19839225100003,308.2
647,49826.251,652.100402476,274.0
648,49826.96,382.49999647600004,364.4
649,49840.251,-1048.399204251,913.8
650,49848.331,-2123.200789583,926.3000000000001
651,49854.251,-20.001587586,275.8
652,49861.249,-757.699208975,1919.7
653,49868.251,12.80161257,305.20000000000005
654,49875.257000000005,-459.698404143,2086.5
