%-----------------------------------------------------------------------------
%                R.A. (mas)        Dec. (mas)        Err. (mas)     Corr. Del.
% Uncertainty in R.A. is in R.A. cos(Dec.)!!!!
%-----------------------------------------------------------------------------
47659.248  -36.031455866645 -311.286402002153    1.0197    3.5824   0.228   14
54287.294   -1.599568896494   -0.335502000581    2.5450    1.6118   0.501    4
54294.270    2.138227050494    0.585399600794    2.4643    1.5996   0.587    5
54301.272    0.304692585210   -0.104799599399    1.4373    1.0504  -0.838    5
54308.270   -2.119429413811    0.166500000987    1.8414    1.3582   0.386   14
54314.250   -2.045568949037    0.433097999064    0.6884    0.7306  -0.250   37
54315.272   -2.511709137574    3.017401199301    2.5686    1.5176  -0.870    5
54321.248    5.600126055578   -2.924802000592    2.2859    2.3643  -0.880    6
54329.269   -0.096543308714    0.864500400866    1.4492    1.2962   0.286   30
54336.271    1.583897990581    1.974499200941    3.5961    2.1665   0.735    5
54343.269    0.820671355844    0.699400799675    1.4129    1.2093  -0.378   10
54350.271   -0.813960284229    0.076399200566    1.1794    0.8828  -0.876    7
54357.269    1.254585250446   -0.408099602112    0.9954    0.9921  -0.418    9
54364.271    0.754420694218   -1.258498799572    0.9022    0.6936  -0.021   14
54371.269    1.183707597258    2.774098800273    0.7424    0.8070  -0.355   38
54378.271   -0.966007542492   -0.526500001996    1.2858    1.1792  -0.421   28
54385.269   -0.332747054901    0.472798798512    0.3112    0.5146  -0.163   62
54392.267    0.476736874536    0.344199600022    0.3111    0.4863  -0.131   46
54399.269   -0.309469806414    0.826999198722    0.6792    0.8767  -0.693   21
54404.269   -0.226208589448    0.159300000391    0.7501    0.8537  -0.404   27
54413.269   -0.458383412758    0.883900798954    0.5942    1.3059  -0.743   37
54420.271    0.513443390965   -0.436500000944    0.2208    0.6622   0.081   54
54425.271    0.296932348856   -0.324298799015    0.1865    0.4862   0.132   64
54434.271   -0.682203595167    0.842900399078    0.4392    0.6031  -0.271   69
54441.269   -0.625056076332    0.544798798074    0.3420    0.6531   0.048   42
54448.271    0.193230333048   -0.756500401522    0.3456    0.8733  -0.713   57
54452.208   -0.078935091815   -0.014601599929    0.1495    0.2676   0.210   15
54455.269   -0.254410031770    0.654598800764    0.2284    0.4311  -0.123   36
54462.271    0.315138838002    0.203900400564    0.3544    0.4485   0.127   48
54469.269    0.472110086537    0.844300798875    1.9535    1.2408   0.421    9
54476.271    0.018650664051    0.745801199997    0.3174    0.4689  -0.327   36
54483.273    0.355125571855   -0.384501601758    0.3803    1.3175   0.166   22
54490.271   -1.067174178630    1.121597998477    1.1536    1.0282  -0.110   17
54497.273    0.219791463095   -0.316400400280    0.3699    0.5667  -0.326   31
54504.271    0.913186148808    0.310201199127    0.4191    0.7026   0.088   42
54511.269   -0.394370928528    0.422899200458    0.4955    0.3863  -0.516   23
54518.271    0.020143800132   -0.148899599850    0.3232    0.4865   0.221   48
54525.273   -0.307976466770   -0.459702001265    1.5322    0.9976   0.223   13
54532.271   -0.272612856779   -1.171198801941    0.5091    0.6403  -0.028   34
54537.205   -0.280222659927   -0.276199201110    0.3157    0.3171   0.116   24
54539.269   -1.496908717149    0.612197997896    1.1659    1.1157   0.070   16
54545.270    0.641615332055   -0.527698799857    0.4735    1.3081  -0.048   15
54553.269    0.130710984898   -0.018298799276    0.2223    0.5194  -0.184   36
54560.271   -0.193530792332   -0.545101199378    0.2420    0.7856  -0.111   72
54567.269    0.482556339330    0.965498398031    0.4025    1.0880  -0.203   19
54574.271   -0.282908472803    1.560999598382    0.2109    0.7376  -0.083   44
54581.273    0.293949333706   -1.298098799651    0.2323    0.8142   0.104   26
54586.270    0.659671387996   -1.205701199680    0.4919    0.9565   0.219   12
54594.268   -0.101764704823   -0.611200801970    0.2717    0.6344   0.057   46
54602.271   -0.052674624616    0.954100798367    0.1809    0.7007  -0.266   45
54609.273   -0.233818596159    1.382299199904    0.2050    0.7389  -0.337   28
54616.271    0.067740540695    0.837198000525    0.6565    3.3483  -0.506    9
54637.269    0.316481744440    0.257698799899    0.8408    1.0392  -0.546    9
54644.271   -0.323196073067    1.731499200019    1.2755    1.5429  -0.701   15
54650.269    1.215937758894    0.221500798503    0.5163    0.7552  -0.290   32
54658.271   -0.086394461758    0.476999997900    0.7252    1.5630   0.414   12
54665.269    1.455872818558   -0.963100799112    0.9897    1.4050   0.230    6
54672.271    0.086842300800   -1.069300801504    0.8439    1.0932   0.200   11
54679.269    0.094452103949    0.756298799587    0.4365    1.9844  -0.205    9
54686.271   -0.008057438627    1.662497998467    0.3244    1.1091  -0.001   22
54690.497   -0.144888551168   -1.591999201267    0.6256    1.5349   0.829    6
54691.502   -4.267056809370  -19.493200800724    6.0043   26.2706   0.998    3
54692.499   -0.435407030682   -2.148901200982    1.5067    5.6657   0.971    4
54693.500    2.611232204426    8.767501198648    1.1709    3.8727   0.954    7
54694.500   -1.035692518884   -5.064800399879    0.7660    2.4498   0.707    4
54695.501   -2.725831569081   -9.931600799362    1.5240    5.0495   0.959    6
54696.502    5.694130524047   23.835099599623    3.7993   16.4901   0.996    3
54698.500   -1.737442049061   -4.042800001969    0.7129    1.8435   0.580    5
54699.501   -0.646839985176   -4.743799199858    1.8703    7.1464   0.979    4
54700.501    0.027900575911   -0.739000799754    0.5240    1.2083   0.652    9
54701.499   -0.573577385523   -1.259701200951    1.0954    1.8250   0.891    6
54702.499   -0.397357607815   -0.824299201696    0.8417    2.2365   0.860    5
54703.500    0.663402905036    1.977001199549    0.4822    1.1862   0.748    8
54704.501   -0.039392329305    0.239597999041    0.3620    0.8132   0.302    6
54707.270    0.804409505958   -1.254700800857    0.6592    1.0044  -0.315   15
54714.271    0.366914731085   -1.115301601473    0.5364    1.4073  -0.145    8
54721.270   -2.169565198182    0.936601199797    0.7255    0.9564   0.069    9
54728.271   -1.159688971593   -0.861199201552    1.7634    1.4490  -0.573    3
54735.270    0.461517064676   -0.526302000381    0.2622    0.6125  -0.105   27
54742.271    0.136677218760   -0.991501201142    0.2745    1.0862   0.021   11
54749.273   -0.403624504525    0.236498398465    0.4162    0.9726   0.120   17
54756.271   -1.093584875472   -1.214701200425    1.1051    1.0304  -0.196   14
54763.273    0.812019512670    0.238798798335    0.4293    0.9756  -0.020    8
54770.268    1.336800559685    1.315997998574    1.2968    1.3912   0.398    3
54777.270    0.596256768888   -0.968601602125    0.4746    2.2266   0.175    8
55026.206   -0.986151342623   -0.066700801682    0.7788    0.4864   0.471    8
55379.271    0.293652131433   -0.762800402043    0.5640    1.6748   0.486    4
55411.209   -0.598494946285    0.423799200533    0.3444    0.8493  -0.202   11
55421.271   -0.123996249146   -1.458201601068    0.2707    0.6633   0.379   12
55439.209   -0.263810376836    5.139197998361    3.6391   13.1988  -0.969    3
55454.228   -0.205914356110   -0.122500799904    0.1341    0.2316   0.037  131
55516.207   -0.069237340913    0.536399999618    0.2150    0.2270   0.136   25
55518.249   -0.371244113247    0.205099198425    0.1462    0.3055   0.080  105
55525.999    2.887576781808   -2.833901999466    1.1884    1.8662  -0.639   10
55578.997    0.363483876893   -0.551901599621    0.8839    1.8130  -0.485   14
55589.272   -0.566565651060   -1.343901601203    0.5860    0.9105  -0.134   20
55596.270   -0.465248581716    0.545799600715    0.4952    0.9129  -0.571   61
55603.268    0.612221416501    1.558299598159    0.5348    1.4721  -0.186   13
55615.230   -0.636246963315   -0.721299599249    0.1901    0.4180   0.155   23
55650.228    0.153687570537    0.202899597923    0.1631    0.3053  -0.019   47
55659.272    0.973169913724   -1.973300399882    0.5021    1.0039  -0.440   22
55665.247    0.153838003743    0.566798400214    0.1306    0.4540   0.236   28
55685.226   -2.675097919588   -3.595302001713    6.7514   12.5100  -0.922    3
55687.272   -2.519172171654    0.815597998738    1.5811    1.2842   0.095    4
55691.206   -0.073412829295    0.177400798052    0.5551    0.3767  -0.043   13
55701.272   -0.014177566270    1.441000800284    0.2907    0.8776  -0.106   14
55708.270   -0.346623754759   -0.958798800355    2.2153    3.7509  -0.383    3
55734.228   -0.301859799703    0.502999200691    0.2920    0.6025   0.053   14
55757.268   -0.070279380940    0.601099199216    0.4132    0.6269  -0.139   37
55791.251    1.052849843292    1.385297997913    0.6377    1.6765   0.372   20
55797.227    4.210353465441    2.623298400906    1.8007    2.3408   0.654   10
55799.268    2.319818453953    0.572101198415    3.2317    2.0275  -0.479    6
