   DATE        X           sigma      Y         sigma 
49764.3340     -0.039      0.053     -0.001      0.061 
49772.0870     -0.334      0.115     -0.063      0.125 
49779.0430     -0.098      0.062     -0.242      0.071 
49783.0850      0.011      0.049      0.030      0.048 
49790.1670      0.125      0.039     -0.036      0.043 
49800.4190     -0.230      0.054      0.223      0.058 
49804.0830     -0.001      0.076     -0.119      0.086 
49811.0420      0.002      0.067     -0.070      0.067 
49819.9580     -0.139      0.034     -0.175      0.035 
49826.9610     -0.255      0.074      0.038      0.075 
49828.4170      0.033      0.032     -0.036      0.034 
49832.0000     -0.249      0.044      0.141      0.046 
49839.0420     -0.120      0.050      0.303      0.055 
49862.3340     -0.442      0.073      0.066      0.080 
49869.3340     -0.127      0.030      0.111      0.031 
49876.3320     -0.105      0.030      0.158      0.031 
49877.4170     -0.340      0.307     -0.185      0.294 
49887.9990     -0.053      0.063     -0.028      0.067 
49895.0820     -0.648      0.474      3.100      0.468 
49897.3320      0.082      0.040      0.028      0.046 
49909.1160      0.140      0.086     -0.570      0.074 
49911.3310     -0.072      0.097     -0.288      0.103 
49914.1660     -0.161      0.079     -0.148      0.076 
49916.0010     -0.057      0.081     -0.018      0.076 
49923.0000     -0.083      0.029      0.142      0.030 
49936.9980     -0.926      0.134      1.570      0.158 
49946.3340     -0.003      0.048      0.168      0.056 
49953.3220     -0.106      0.073      0.315      0.075 
49954.3230      0.094      0.065      0.579      0.064 
49955.3220      0.045      0.087      0.200      0.088 
49956.3220      0.186      0.057      0.145      0.060 
49957.3230     -0.011      0.059      0.292      0.060 
49958.2510     -0.177      0.093      0.176      0.090 
49960.3330     -0.058      0.098     -0.424      0.105 
49961.4160     -0.062      0.263      0.480      0.254 
49967.3340     -0.133      0.061      0.160      0.060 
49979.0850      0.006      0.085     -0.257      0.091 
49982.0830     -0.137      0.062     -0.048      0.061 
49986.0840     -0.160      0.074      0.174      0.078 
49993.1680     -0.059      0.048      0.165      0.048 
49994.2520     -0.191      0.054      0.229      0.052 
49996.0860     -0.137      0.106     -0.022      0.104 
50000.0840     -0.147      0.147      0.181      0.142 
50003.0850     -0.160      0.080      0.191      0.079 
50008.2510     -0.332      0.047      0.017      0.045 
50014.0000     -0.017      0.062      0.107      0.059 
