   DATE        X           sigma      Y         sigma 
48595.2510     -0.123      0.063      0.007      0.070 
48596.3350     -0.263      0.155     -0.052      0.239 
48599.8350      0.278      0.204      0.070      0.206 
48601.1710      0.298      0.218      0.682      0.237 
48602.2310      0.022      0.069     -0.253      0.081 
48603.2770     -0.105      0.149      0.094      0.207 
48605.2520      0.403      0.194      0.063      0.184 
48606.8330     -0.027      0.132      0.165      0.131 
48608.2520     -0.141      0.059      0.095      0.061 
48609.2580     -0.171      0.079      0.042      0.065 
48610.3350     -0.103      0.151     -0.147      0.242 
48611.4200      0.191      0.208     -0.082      0.160 
48613.4750      0.064      0.295     -0.354      0.193 
48617.2500     -0.114      0.128      0.452      0.192 
48620.8390     -0.224      0.211     -0.120      0.215 
48624.2550     -0.026      0.125     -0.153      0.189 
48625.5880     -0.334      0.148     -0.117      0.115 
48627.8360      0.248      0.165      0.460      0.144 
48629.3350      0.029      0.064     -0.145      0.071 
48631.2500      0.180      0.138      0.469      0.208 
48634.8330      0.164      0.171      0.081      0.135 
48636.1390      0.818      0.318     -0.531      0.246 
48638.2510     -0.391      0.139     -0.448      0.223 
48639.3310     -0.138      0.089      0.026      0.115 
48641.8320      0.099      0.121     -0.156      0.092 
48643.3320      0.085      0.129      0.168      0.132 
48645.2500     -0.243      0.122      0.189      0.190 
48648.8320      0.062      0.099     -0.080      0.080 
48650.2520     -0.283      0.091      0.079      0.094 
48652.2510      0.469      0.121     -0.232      0.171 
48654.4850      0.090      0.150     -0.131      0.167 
48655.8410      0.200      0.149     -0.200      0.122 
48657.2500     -0.010      0.060     -0.037      0.066 
48659.2530     -0.114      0.120     -0.230      0.148 
48660.3320     -0.155      0.287      0.018      0.295 
48662.8330      0.170      0.098     -0.208      0.083 
48664.2500     -0.471      0.166      0.275      0.223 
48665.7680      6.835      1.884      6.697      1.925 
48667.3360      0.076      0.071     -0.148      0.099 
48669.8390     -0.071      0.247     -0.095      0.221 
48671.2550     -0.087      0.158     -0.092      0.241 
48673.2580     -0.109      0.122     -0.310      0.148 
48674.3340      0.175      0.167      0.409      0.167 
48676.8350      0.262      0.111     -0.123      0.097 
48678.1700      0.009      0.094     -0.286      0.093 
48680.2490      0.092      0.109     -0.077      0.121 
48683.8310      0.218      0.156     -0.101      0.158 
48685.3340      0.075      0.068     -0.057      0.059 
48687.2500     -0.108      0.140     -0.013      0.140 
48688.3320     -0.046      0.083     -0.273      0.101 
48690.8330      0.259      0.152      0.073      0.110 
48692.1660      0.113      0.119     -0.197      0.114 
48693.4980      0.185      0.293     -0.234      0.170 
48694.2540     -0.335      0.251     -0.091      0.138 
48695.3360      0.217      0.175      0.119      0.169 
48697.8330      0.369      0.140      0.004      0.143 
48699.4970     -0.189      0.233     -0.490      0.145 
48701.2520     -0.075      0.168     -0.398      0.147 
48702.3410      0.076      0.164      0.189      0.184 
48703.6480     -0.014      0.092      0.059      0.125 
48704.8350      0.321      0.127     -0.064      0.145 
48708.2540      0.364      0.159     -0.134      0.131 
48709.2110      0.088      0.152      0.037      0.104 
48711.8340     -0.138      0.148     -0.040      0.232 
48713.2560     -0.509      0.388     -0.060      0.278 
